section,local_element_index,body_index,element_type,style,rows,cols,equation_labels,omath_count,omath_para_count,drawing_count,text
2.1,0,190,PARAGRAPH,Heading 4,,,,0,0,0,Dinamika Frekuensi PLTMH Terisolasi
2.1,1,191,PARAGRAPH,First Paragraph,,,,0,0,0,"menjelaskan bahwa frekuensi sistem tenaga merefleksikan keseimbangan sesaat antara daya mekanik yang masuk ke generator dan daya elektrik yang diserap sistem. menegaskan bahwa berkurangnya inersia meningkatkan laju perubahan frekuensi setelah gangguan. Dalam bentuk per-unit yang disederhanakan, dinamika awal frekuensi dinyatakan melalui persamaan ayunan:"
2.1,2,192,TABLE,,1.0,2.0,2.1,1,1,0,| (2.1)
2.1,3,193,PARAGRAPH,First Paragraph,,,,6,0,0,"dengan sebagai frekuensi nominal, konstanta inersia, koefisien redaman beban, perubahan daya mekanik, dan perubahan daya elektrik. Bentuk ini lebih lengkap daripada hubungan tanpa redaman karena mengakomodasi sensitivitas beban terhadap frekuensi. Nilai yang rendah menyebabkan rate of change of frequency lebih tinggi ketika terjadi ketidakseimbangan daya."
2.1,4,194,PARAGRAPH,Body Text,,,2.1,2,0,0,"Pengaruh ketidakseimbangan antara daya mekanik turbin dan daya listrik generator terhadap respons frekuensi dapat dijelaskan melalui Persamaan (2.1). Besar dan arah perubahan frekuensi ditentukan oleh selisih , sedangkan konstanta inersia memengaruhi laju respons frekuensi setelah terjadi perubahan kondisi operasi. Hubungan tersebut diilustrasikan pada Gambar 2.1."
2.1,5,195,PARAGRAPH,Body Text,,,,0,0,1,
2.1,6,196,PARAGRAPH,Caption,,,,0,0,0,"Gambar II.1 Hubungan ketidakseimbangan daya, inersia, dan respons frekuensi sistem PLTMH"
2.1,7,197,PARAGRAPH,Body Text,,,2.1,4,0,0,"Gambar 2.1 menunjukkan bahwa kondisi merepresentasikan keseimbangan daya sehingga frekuensi berada pada kondisi tunaknya. Ketika , kekurangan daya menyebabkan frekuensi menurun, sedangkan kondisi menghasilkan kecenderungan peningkatan frekuensi. Besarnya laju perubahan frekuensi dipengaruhi oleh konstanta inersia , sebagaimana dinyatakan pada Persamaan (2.1). Deviasi frekuensi yang terbentuk akibat perubahan keseimbangan daya menjadi variabel utama untuk menilai respons dinamis sistem."
2.1,8,198,PARAGRAPH,Body Text,,,2.2,1,0,0,"Pada PLTMH terisolasi, perubahan daya beban konsumen secara langsung memengaruhi keseimbangan antara pembangkitan dan konsumsi daya. Pengaturan daya beban buangan melalui ELC digunakan untuk mengompensasi perubahan tersebut agar daya keluaran generator tetap terserap sesuai keseimbangan daya sistem. Prinsip ini menjadi dasar hubungan pada Persamaan (2.2) dan pembahasan mekanisme ELC pada Subbab 2.2."
2.1,9,199,PARAGRAPH,Body Text,,,,0,0,0,menunjukkan bahwa ketidakseimbangan daya pada mikrogrid terisolasi harus dikompensasi secara lokal karena tidak tersedia dukungan jaringan interkoneksi. juga menempatkan deviasi frekuensi sebagai variabel utama dalam evaluasi pengendalian mikrogrid terisolasi. Kedua kajian tersebut mendukung penggunaan respons frekuensi sebagai keluaran utama model penelitian.
2.1,10,200,PARAGRAPH,Body Text,,,2.1,0,0,0,Persamaan (2.1) menjadi persamaan dasar untuk menghitung respons frekuensi pada model simulasi Bab III. Penerapannya dalam pemodelan PLTMH–ELC dirujuk kembali pada Subbab 3.3.
2.1,11,201,PARAGRAPH,Body Text,,,,0,0,0,Hubungan daya generator dan beban pada PLTMH dengan ELC dinyatakan sebagai:
2.1,12,202,TABLE,,1.0,2.0,2.2,1,1,0,| (2.2)
2.1,13,203,PARAGRAPH,Normal,,,2.2;2.1,3,0,0,"Jika rugi-rugi diabaikan pada model awal, Persamaan (2.2) menyederhana menjadi . Penggunaan tepat untuk menyatakan daya elektrik keluaran generator, sedangkan tetap digunakan sebagai daya mekanik masukan turbin pada Persamaan (2.1). Kedua besaran tidak dapat dipertukarkan karena berada pada sisi konversi energi yang berbeda."
2.2,0,204,PARAGRAPH,Heading 4,,,,0,0,0,Electronic Load Controller
2.2,1,205,PARAGRAPH,First Paragraph,,,,0,0,0,"menjelaskan bahwa ELC mempertahankan total daya yang diserap generator melalui pengaturan beban buangan. menunjukkan bahwa waktu penyalaan perangkat daya dan perpindahan tingkat beban buangan memengaruhi harmonisa serta transien. memperlihatkan bahwa penyempurnaan pengendali beban tetap menjadi bagian penting dalam peningkatan kinerja PLTMH. Dalam penelitian ini, sinyal kendali mengubah rasio kerja PWM untuk mengatur daya rata-rata pada beban buangan, sehingga hubungan model rata-ratanya dinyatakan sebagai:"
2.2,2,206,TABLE,,1.0,2.0,2.3,1,1,0,| (2.3)
2.2,3,207,PARAGRAPH,First Paragraph,,,,2,0,0,dengan sebagai rasio kerja dan sebagai kapasitas nominal beban buangan. Model rata-rata dipilih agar dinamika pengendalian frekuensi dapat dianalisis tanpa mensimulasikan setiap peristiwa switching semikonduktor.
2.2,4,208,PARAGRAPH,Body Text,,,,0,0,0,"Implementasi hubungan daya tersebut pada ELC melibatkan pengukuran frekuensi, pengendali PI, PWM, perangkat pensaklaran IGBT, dan beban buangan. Keterkaitan antara sistem PLTMH, beban konsumen, dan rangkaian pengendalian ELC ditunjukkan pada Gambar 2.2."
2.2,5,209,PARAGRAPH,Body Text,,,,0,0,2,
2.2,6,210,PARAGRAPH,Caption,,,,0,0,0,Gambar II.2 Konfigurasi sistem PLTMH terisolasi dengan ELC berbasis PI dan beban buangan.
2.2,7,211,PARAGRAPH,Normal,,,2.3;2.2,3,0,0,"Gambar 2.2 menunjukkan bahwa perubahan frekuensi sistem diukur untuk membentuk galat . Pengendali PI mengolah galat tersebut menjadi sinyal kendali , yang selanjutnya menentukan rasio kerja PWM untuk mengendalikan IGBT. Perubahan rasio kerja mengatur daya yang diserap beban buangan sesuai model rata-rata pada Persamaan (2.3). Mekanisme ini memungkinkan ELC menyesuaikan sebagai respons terhadap perubahan beban konsumen sehingga keseimbangan daya pada Persamaan (2.2) dapat dipertahankan."
2.2,8,212,PARAGRAPH,Normal,,,2.3;2.1;2.2,0,0,0,Persamaan (2.3) menghubungkan keluaran pengendali dengan daya yang diserap beban buangan. Hubungan tersebut digunakan bersama Persamaan (2.1) dan (2.2) dalam penyusunan model closed-loop pada Subbab 3.3.
2.2,9,213,PARAGRAPH,List Paragraph,,,,0,0,0,
2.2,10,214,PARAGRAPH,List Paragraph,,,,0,0,0,
2.2,11,215,PARAGRAPH,List Paragraph,,,,0,0,0,
2.2,12,216,PARAGRAPH,List Paragraph,,,,0,0,0,
2.3,0,217,PARAGRAPH,Heading 4,,,,0,0,0,Pengendali PI dan Penjadwalan Gain
2.3,1,218,PARAGRAPH,First Paragraph,,,,0,0,0,Galat pengendalian didefinisikan dengan konvensi tanda:
2.3,2,219,TABLE,,1.0,2.0,2.4,1,1,0,| (2.4)
2.3,3,220,PARAGRAPH,First Paragraph,,,,0,0,0,Keluaran pengendali PI adalah:
2.3,4,221,TABLE,,1.0,2.0,2.5,1,1,0,| (2.5)
2.3,5,222,PARAGRAPH,First Paragraph,,,2.4;2.5,0,0,0,"Persamaan (2.4) menetapkan konvensi tanda galat, sedangkan Persamaan (2.5) membentuk aksi kendali PI. Konvensi tanda tersebut dipertahankan dalam fungsi objektif dan seluruh indikator galat agar interpretasi hasil antarbab tetap konsisten."
2.3,6,223,PARAGRAPH,Body Text,,,,4,0,0,"Pada PI gain tetap, dan . menjelaskan bahwa gain scheduling menyesuaikan parameter pengendali terhadap perubahan kondisi operasi sistem nonlinier. menerapkan prinsip tersebut pada PLTMH melalui self-tuning fuzzy PI, sedangkan memperbarui gain PI ELC berdasarkan galat dan laju perubahannya. Dalam penelitian ini, kedua gain diperbarui oleh model pembelajaran pada interval supervisori. Saturasi aktuator dan mekanisme anti-windup diperlukan karena dibatasi pada ."
2.3,7,224,PARAGRAPH,Normal (Web),,,,0,0,0,"memperlihatkan bahwa penalaan berbasis metaheuristik dapat menghasilkan gain yang baik untuk fungsi objektif dan skenario tertentu. mencatat bahwa hasil penalaan tersebut umumnya diperoleh melalui proses pencarian iteratif pada ruang parameter. Dalam penelitian ini, kajian metaheuristik hanya digunakan untuk menunjukkan perkembangan dari penalaan tetap menuju penjadwalan gain berbasis kondisi; persamaan internal GA, PSO, GWO, dan SOS tidak diperlukan karena metode tersebut tidak diimplementasikan."
2.4,0,225,PARAGRAPH,Heading 4,,,,0,0,0,Pembentukan Target Gain Berbasis Simulasi
2.4,1,226,PARAGRAPH,First Paragraph,,,,1,0,0,"QLSTM yang dilatih secara terawasi memerlukan target. Untuk skenario operasi ke-, pasangan gain target didefinisikan sebagai solusi terbaik dalam himpunan kandidat yang dievaluasi melalui simulasi:"
2.4,2,227,TABLE,,1.0,2.0,2.6,1,1,0,| (2.6)
2.4,3,228,PARAGRAPH,First Paragraph,,,,1,0,0,dengan . Fungsi objektif tunggal yang digunakan adalah:
2.4,4,229,TABLE,,1.0,2.0,2.7,1,1,0,| (2.7)
2.4,5,230,PARAGRAPH,First Paragraph,,,,0,0,0,Komponen integral galat absolut dinyatakan sebagai:
2.4,6,231,TABLE,,1.0,2.0,2.8,1,1,0,| (2.8)
2.4,7,232,PARAGRAPH,First Paragraph,,,2.6;2.7;2.8,0,0,0,"Persamaan (2.6) menentukan aturan pemilihan label, Persamaan (2.7) mengukur kualitas setiap kandidat gain, dan Persamaan (2.8) mendefinisikan komponen IAE. Ketiga persamaan tersebut diterapkan sebagai prosedur operasional pembentukan target pada Subbab 3.6."
2.4,8,233,PARAGRAPH,Body Text,,,,5,0,0,"merupakan penalti bernilai besar jika respons tidak stabil, aktuator mengalami saturasi berkepanjangan, atau frekuensi keluar dari batas yang ditentukan. Normalisasi menggunakan , , dan mencegah satu indikator mendominasi hanya karena perbedaan satuan. Bobot memenuhi dan ditetapkan sebelum pembentukan label melalui analisis sensitivitas terbatas."
2.4,9,234,PARAGRAPH,Body Text,,,,0,0,0,"Pencarian dilakukan dua tahap. Grid kasar memetakan wilayah solusi yang layak, kemudian grid halus mengevaluasi lingkungan kandidat terbaik. Prosedur deterministik ini dipilih karena hanya terdapat dua variabel keputusan dan karena sumber label harus dapat direplikasi. Pencarian merupakan tahap luring penyusunan dataset; tidak ada pencarian grid ketika model diuji di dalam loop kendali."
2.5,0,235,PARAGRAPH,Heading 4,,,,0,0,0,Long Short-Term Memory
2.5,1,236,PARAGRAPH,First Paragraph,,,,2,0,0,"merumuskan LSTM untuk mengatasi kesulitan pembelajaran dependensi jangka panjang pada jaringan berulang. LSTM memproses urutan data dengan gerbang lupa, masukan, keluaran, dan keadaan sel. menunjukkan bahwa struktur tersebut dapat digunakan untuk memodelkan sistem dinamis nonlinier. Untuk masukan dan keadaan tersembunyi sebelumnya , persamaan dasarnya adalah:"
2.5,2,237,TABLE,,5.0,2.0,2.9;2.10;2.11;2.12;2.13,5,5,0,| (2.9) || | (2.10) || | (2.11) || | (2.12) || | (2.13)
2.5,3,238,PARAGRAPH,First Paragraph,,,2.9;2.13,0,0,0,"Persamaan (2.9)–(2.13) secara berurutan mendefinisikan gerbang lupa, gerbang masukan, kandidat keadaan sel, pembaruan keadaan sel, serta gerbang keluaran dan keadaan tersembunyi LSTM. Rangkaian persamaan ini menjadi baseline struktural bagi transformasi QLSTM pada Subbab 2.7."
2.5,4,239,PARAGRAPH,Normal,,,,0,0,0,"Dalam penelitian ini, LSTM tidak digunakan untuk memprediksi beban atau frekuensi masa depan. Model mempelajari pemetaan dari jendela kondisi operasi menuju target gain dan berfungsi sebagai pembanding klasik bagi QLSTM."
