order,chapter,section,alignment_id,priority,topic,current_problem,required_revision,replacement_core,evidence_basis,bab_v_dependency
1,Abstract,Abstract,A16,CRITICAL,Prospective QLSTM added-value claim,Proposal-style wording expects added value or superiority of QLSTM over classical LSTM.,Convert prospective language into actual-result language. State that QLSTM was evaluated but its superiority was not supported by the frozen results.,"Hasil menunjukkan bahwa QLSTM dapat diintegrasikan sebagai penjadwal gain PI, tetapi pada konfigurasi yang diuji belum menghasilkan akurasi estimasi gain maupun kinerja closed-loop primer yang lebih baik daripada LSTM.",Cell156 + reviewed Bab IV,True
2,Bab I,1.1 Latar Belakang,A06/A16,HIGH,Input features and prospective superiority,Earlier conceptual text may describe a different feature vector and may imply expected QLSTM benefit.,Use the final four-feature temporal input and keep motivation neutral regarding eventual superiority.,"Informasi temporal yang digunakan terdiri atas deviasi frekuensi, daya mekanik, daya elektrik, dan daya dump load. QLSTM dievaluasi sebagai penjadwal gain adaptif, bukan diasumsikan sejak awal pasti lebih unggul.",Final dataset metadata,True
3,Bab I,1.2 Rumusan Masalah — butir 4,A04,CRITICAL,Presupposition that QLSTM improves performance,Wording 'sejauh mana meningkatkan' presupposes that improvement exists.,Change to a neutral comparative research question.,Bagaimana kinerja ELC dengan penjadwalan gain PI berbasis QLSTM dibandingkan dengan PI gain tetap dan LSTM–PI pada skenario evaluasi yang telah ditetapkan?,Cell155/156 primary results,True
4,Bab I,1.3 Tujuan Penelitian — butir 4,A05,CRITICAL,Paired significance testing in research objective,Objective still includes paired inferential statistical testing.,Replace inferential testing with descriptive family-level closed-loop comparison.,"Membandingkan kinerja PI gain tetap, LSTM–PI, dan QLSTM–PI secara deskriptif berdasarkan RMSE deviasi frekuensi pada keluarga dinamik uji independen, disertai indikator dinamik dan beban komputasi.",Cell152 preregistration,True
5,Bab I,1.5 Batasan Penelitian,A07/A09/A13/A20,CRITICAL,"Dataset split, scenario scope, gain envelope, G3","Earlier scope may use scenario-ratio split, multi-step/random closed-loop claims, universal safe-gain language, and insufficient G3 caveat.","State the actual family-held-out split, deterministic closed-loop scope, admissible gain envelope, and G3 generalization limitation.","Data dibagi berdasarkan keluarga dinamik untuk mencegah kebocoran antar kondisi, dengan 7 keluarga pelatihan, 2 validasi, dan 2 pengujian. Evaluasi closed-loop akhir menggunakan empat skenario deterministik yang telah ditetapkan. Rentang Kp–Ki diposisikan sebagai rentang gain admissible hasil label final, bukan jaminan stabilitas universal. Regime G3 tidak memiliki keluarga uji independen.",Dataset metadata + Cell151/152,True
6,Bab II,2.8 Mekanisme Penjadwalan Gain,A08,CRITICAL,Exponential smoothing,Conceptual methodology includes exponential smoothing of predicted gains.,Remove exponential smoothing from the realized method. Replace it with the actual frozen processing order: inverse scaling → finite check → clipping → gain-rate limiting → applied gain.,"Gain hasil estimasi dikembalikan ke skala fisik, diperiksa keterhinggaannya, dibatasi pada rentang admissible, kemudian dilewatkan melalui pembatas laju perubahan sebelum diaplikasikan ke PI.",Cell151 frozen scheduler policy,True
7,Bab II,2.9 Indikator Kinerja,A10,HIGH,Final primary metric,Earlier conceptual indicators may make IAE/ITAE or several metrics appear equally primary.,"Identify frequency-deviation RMSE as the frozen primary closed-loop metric. Peak deviation, RoCoF, settling, control effort and computational burden remain supporting diagnostics.","Metrik primer evaluasi closed-loop adalah RMSE deviasi frekuensi pada interval pascagangguan. Simpangan puncak, RoCoF, waktu tunak, aktivitas dump load, perilaku gain, dan beban komputasi digunakan sebagai indikator pendukung.",Cell152 metric freeze,True
8,Bab II,2.11 Hipotesis / Kerangka Pengujian,A11,CRITICAL,Formal inferential hypotheses,Formal H0/H1 may imply statistical hypothesis testing that was not performed.,"Reframe as evaluative propositions/research comparisons, or explicitly state that inferential hypotheses were not tested because only two independent primary families were available.",Perbandingan ketiga konfigurasi dilakukan secara deskriptif pada tingkat keluarga dinamik. Penelitian tidak menarik kesimpulan signifikansi statistik karena jumlah unit evaluasi primer independen hanya dua keluarga.,Cell152 analysis policy,True
9,Bab II / Bab III,Generalisasi Regime G3,A20,CRITICAL,Independent G3 generalization,Wording may imply validation/test generalization for G3.,State explicitly that independently held-out generalization is demonstrated only for the test families belonging to G1/G2; CL04/G3 is an in-distribution diagnostic.,Regime G3 tidak memiliki keluarga pengujian independen pada pembagian data akhir. Evaluasi CL04 hanya digunakan sebagai diagnostik dalam distribusi dan tidak menjadi bukti generalisasi G3.,Dataset metadata + Cell156,True
10,Bab III,3.4 Rentang Gain,A13,HIGH,Safe/stable gain range wording,The gain envelope may be described as universally safe or stable.,"Use the exact frozen interpretation: finalized supervised-label admissible envelope, not universal physical stability guarantee.","Rentang gain yang digunakan adalah Kp = [2,16; 3,36] dan Ki = [3,0368; 14,144]. Rentang tersebut merupakan envelope admissible yang diturunkan dari label supervised final dan tidak ditafsirkan sebagai jaminan stabilitas fisik universal.",Cell151 admissible gain envelope,True
11,Bab III,3.5 Skenario Evaluasi,A09,CRITICAL,Actual closed-loop scenario design,Earlier methodology may state multi-step/random closed-loop disturbances as realized evaluation.,Describe the actual final stage: four predefined deterministic scenarios and three controllers.,"Evaluasi closed-loop akhir terdiri atas empat skenario deterministik yang ditetapkan sebelum hasil diketahui. Masing-masing diuji menggunakan PI gain tetap, LSTM–PI, dan QLSTM–PI sehingga diperoleh 12 run.",Cell152 preregistration,True
12,Bab III,3.7 Pembentukan Dataset dan Split,A06/A07,CRITICAL,Final feature vector and leakage-free split,Earlier method uses another feature list and 70:15:15 scenario-count split.,Replace with final four-feature vector and exact dynamic-family group split.,"Setiap window menggunakan empat fitur, yaitu deviasi frekuensi, daya mekanik, daya elektrik, dan daya dump load. Dataset akhir berisi 17.600 window dengan 11 titik per window. Split dilakukan berdasarkan keluarga dinamik: 7 keluarga train, 2 validasi, dan 2 test, menghasilkan 11.200/3.200/3.200 window tanpa family leakage dan scenario leakage.",Final dataset metadata,True
13,Bab III,3.9 Integrasi Scheduler ke PI,A08,CRITICAL,Actual gain-processing chain,Old method contains exponential smoothing.,Replace with frozen gain guard and rate-limit chain.,"Window pengamatan distandardisasi menggunakan scaler data train dan diproses oleh model beku. Prediksi Kp dan Ki kemudian diinvers-skala, diperiksa keterhinggaannya, di-clipping pada envelope admissible, dibatasi laju perubahannya, dan selanjutnya diaplikasikan ke pengendali PI. Tidak digunakan exponential smoothing.",Cell151 scheduler contract,True
14,Bab III,3.10 Analisis Data dan Statistik,A10/A11,CRITICAL,Descriptive rather than inferential primary analysis,"Old plan includes paired t-test/Wilcoxon, p-value, 95% CI, effect size and multiple-comparison correction.",Replace with descriptive family-level comparison. State explicitly why inferential significance testing is not performed.,"Analisis primer dilakukan pada tingkat keluarga dinamik independen menggunakan RMSE deviasi frekuensi. Karena hanya tersedia dua keluarga uji primer independen, penelitian tidak melakukan paired t-test, Wilcoxon, maupun klaim signifikansi statistik. Hasil dilaporkan secara deskriptif per keluarga dan melalui rerata tidak berbobot.",Cell152/156,True
15,Bab III,3.10 Analisis Sensitivitas,A12,HIGH,Unrealized sensitivity sweep,"Planned sensitivity tests over window length, update interval, smoothing factor, qubits and VQC depth were not part of the final frozen results.",Remove from realized methodology or state clearly that it was not performed and move it to future work.,Analisis sensitivitas multi-parameter tidak menjadi bagian dari evaluasi akhir penelitian ini. Pengujiannya ditempatkan sebagai rekomendasi penelitian selanjutnya.,Final result package,True
16,Bab III / Bab V,Monte Carlo / Analisis Ketidakpastian,ADDITIONAL_FINAL_POLICY,CRITICAL,Monte Carlo 50 run,"If the current Bab I–III still states Monte Carlo 50-run analysis as a realized method, that statement does not match the frozen final experiment.",Do not claim Monte Carlo was performed. State that the final primary evaluation is deterministic. Move Monte Carlo uncertainty analysis to future work.,"Evaluasi closed-loop akhir dilakukan secara deterministik pada empat skenario yang telah ditetapkan, masing-masing dengan tiga konfigurasi pengendali, sehingga diperoleh 12 run. Simulasi Monte Carlo tidak menjadi bagian dari tahap evaluasi primer karena model yang dibekukan bersifat deterministik dan penelitian ini tidak menetapkan distribusi probabilistik ketidakpastian plant maupun gangguan. Analisis Monte Carlo dapat dikembangkan pada penelitian selanjutnya dengan distribusi ketidakpastian yang ditetapkan sebelum eksperimen.",Cell152: NOT_PART_OF_THIS_DETERMINISTIC_PRIMARY_STAGE,True
