id,proposal_location,topic,status,final_evidence,required_action
A01,Title,Research title,RETAIN_WITH_SCOPE,The project evaluates an attempted performance improvement; the final result does not establish QLSTM superiority.,"Title may remain, but Abstract, conclusions and discussion must not imply that improvement was achieved."
A02,1.1 / 1.4 / 1.6,QLSTM scientific role,ALIGNED,QLSTM remains a supervisory gain scheduler; PI remains the ELC controller.,Retain.
A03,1.5 / 1.6 / 3.6,No metaheuristic in thesis method,ALIGNED,Final workflow does not use GA/PSO/GWO/SOS as the adaptive-gain method.,Retain distinction between grid-label formation and QLSTM.
A04,1.2 question 4,Presupposition of improvement,REVISION_REQUIRED,Primary evidence does not show QLSTM-PI superiority; Fixed PI has the lowest primary mean RMSE.,Replace presuppositional 'sejauh mana meningkatkan' with neutral comparative wording such as 'bagaimana kinerja ... dibandingkan'.
A05,1.3 objective 4,Paired statistical testing,REVISION_REQUIRED,Only two independent held-out dynamic families are available; no significance test is allowed.,Remove paired statistical testing from the realized objective; state descriptive family-level comparison.
A06,1.1 / 3.7 / Abstract,Model input features,REVISION_REQUIRED,"Final inputs are exactly: frequency_deviation_hz, mechanical_power_kw, electrical_power_kw, dump_power_kw.",Replace earlier feature list containing absolute frequency and consumer-load input.
A07,1.5 / 3.7,Dataset split granularity,REVISION_REQUIRED,"Final split is leakage-free dynamic-family group split: 7 train families, 2 validation families, 2 test families; 11,200/3,200/3,200 windows.",Replace generic scenario 70:15:15 description with the actual frozen family-held-out split.
A08,2.8 / 3.9 / 1.6,Gain transition mechanism,REVISION_REQUIRED,"Frozen scheduler applies finite check, clipping and gain-rate limiting; no exponential smoothing stage exists.",Remove exponential-smoothing equation/claim from the realized methodology or explicitly mark it as not used.
A09,1.5 / Abstract / 3.5,Closed-loop scenario scope,REVISION_REQUIRED,Final comparative stage contains four predefined deterministic scenarios × three controllers = 12 runs.,Do not state that multi-step/random closed-loop tests were performed unless supported by a frozen artifact.
A10,2.9 / 3.1 / 3.10,Primary control metric,REVISION_REQUIRED,"Frozen primary metric is full post-disturbance frequency-deviation RMSE; peak, RoCoF, settling and control-effort diagnostics are secondary.",Update analysis-method wording. Do not present IAE/ITAE as final primary closed-loop evidence when they were not used in the frozen primary comparison.
A11,2.11 / 3.10,Inferential hypothesis testing,REVISION_REQUIRED,Family-level significance testing was explicitly not planned in the preregistered final stage because n=2 independent primary families.,Revise formal statistical hypotheses/equations and paired t-test/Wilcoxon procedure into descriptive research comparisons or explicitly state 'not tested'.
A12,3.10,Sensitivity analysis,REVISION_REQUIRED,"No final sensitivity sweep over window length, update interval, smoothing factor, qubit count or VQC depth is part of the frozen result package.","Remove from realized methodology/results, or move to future-work recommendations."
A13,1.5 / 3.4,Meaning of gain envelope,REVISION_REQUIRED,"Final Kp/Ki limits are an admissible envelope derived from finalized supervised labels, not a universal physical stability guarantee.",Replace unconditional 'rentang aman/stabil' with 'rentang gain admissible yang dibekukan' plus caveat.
A14,1.5 / 3.2,Quantum implementation scope,ALIGNED,"QLSTM is executed with a quantum simulator on CPU, not physical quantum hardware.",Retain and add that runtime evidence is implementation-level CPU/PennyLane evidence.
A15,1.6 / 3.1,Controller comparison,ALIGNED,Final comparison is Fixed PI vs LSTM-PI vs QLSTM-PI.,Retain.
A16,Abstract,Prospective QLSTM added-value wording,REVISION_REQUIRED,Frozen evidence does not support QLSTM superiority; negative QLSTM result is retained.,Convert proposal-style 'expected added value' wording into actual-result wording in the final thesis Abstract.
A17,1.5 / 3.7,Test-data isolation,ALIGNED,Test families are held out; no family/scenario leakage and no row-random split were used.,"Retain, but state the final family-level implementation."
A18,3.11,QLSTM success criterion,ALIGNED,Proposal explicitly allowed a conclusion in which QLSTM was equal/worse or computationally heavier.,Retain this falsifiable criterion and report that superiority was not supported.
A19,1.5,Simulation proof-of-concept scope,ALIGNED,Results remain simulation-based and do not claim hardware-in-the-loop or physical real-time validation.,Retain.
A20,Bab II / Bab III,G3 generalization scope,REVISION_REQUIRED,G3 has no independently held-out test family. CL04 is an in-distribution diagnostic only.,Add explicit G3 limitation wherever generalization or held-out testing is described.
