category,check,passed
integrity,cell176_checkpoint,True
integrity,bab_i_candidate_sha,True
structure,sections_1_1_to_1_6_ordered,True
structure,section_titles_valid,True
research_logic,question_objective_alignment,True
method,final_four_features,True
method,window_contract,True
method,dynamic_family_split,True
method,scheduler_contract,True
method,gain_envelope_scope,True
method,no_exponential_smoothing,True
evaluation,deterministic_12_run_scope,True
evaluation,monte_carlo_disposition,True
evaluation,primary_rmse_metric,True
evaluation,no_inferential_claim,True
scope,g3_limitation,True
scope,qlstm_supervisory_role,True
scope,qlstm_neutrality,True
scope,quantum_implementation_scope,True
science,obsolete_claims_absent,True
logic,full_bab_i_logical_flow,True
logic,benefit_section_consistent,True
logic,originality_section_consistent,True
cross_chapter,bab_i_bab_iv_alignment,True
editorial,no_placeholders,True
editorial,no_exact_duplicate_long_paragraphs,True
