section,source_span_sha256,cell192_span_sha256,identical
2.1,16fe6e94edbaefb55a65d42c3db16df77e127adf38feb04019ac6f289816811a,16fe6e94edbaefb55a65d42c3db16df77e127adf38feb04019ac6f289816811a,True
2.2,3a39f508ab1b03ebb1268fb729715f08b6ef179905ec0dc5456db3231cb1d6c1,3a39f508ab1b03ebb1268fb729715f08b6ef179905ec0dc5456db3231cb1d6c1,True
2.3,4994122a1d59c2dfbc986e1acceb9615d40e15e9c90dcd14958e0cd0068eff06,4994122a1d59c2dfbc986e1acceb9615d40e15e9c90dcd14958e0cd0068eff06,True
2.4,a5a61093c577290d95a23ebc22c74964fab4deacc7f5cb1bc367adab772857ef,a5a61093c577290d95a23ebc22c74964fab4deacc7f5cb1bc367adab772857ef,True
2.5,aeacdd624476683fecfd32d6e81d65c00b19d25d29896eac7fcbafffa1ef90a0,aeacdd624476683fecfd32d6e81d65c00b19d25d29896eac7fcbafffa1ef90a0,True
2.6,2f0cb7b6add5907711235abe98f3b0a4d7e2e1f66bfd66d4560881ca89c2d4cc,2f0cb7b6add5907711235abe98f3b0a4d7e2e1f66bfd66d4560881ca89c2d4cc,True
2.7,8c6d4dbb5325a4f50816e33676b841e4b073a317cd58341f25bcc7bbe613dcf9,8c6d4dbb5325a4f50816e33676b841e4b073a317cd58341f25bcc7bbe613dcf9,True
2.8,b207b6769b9bb42bb87ea210326f0a036b765c111caa57460c64c53191730a69,b207b6769b9bb42bb87ea210326f0a036b765c111caa57460c64c53191730a69,True
2.9,b5413038ec92614fb961d25de5d779200f446acf032a398180e4639152ed2261,b5413038ec92614fb961d25de5d779200f446acf032a398180e4639152ed2261,True
2.10,ab282e7e709c608ad7a7e163a6f8bc01ff01b264af321e52d1b8c3644ebdc3f3,ab282e7e709c608ad7a7e163a6f8bc01ff01b264af321e52d1b8c3644ebdc3f3,True
2.11,0bd31d81870e32af2be4b7471abf9f6ac879fd717d6b41239969bdd8fdf0ec2a,0bd31d81870e32af2be4b7471abf9f6ac879fd717d6b41239969bdd8fdf0ec2a,True
