category,check,passed
integrity,cell186_fix2_checkpoint,True
integrity,frozen_text_hashes,True
source_contract,cell186_fix2_contract,True
science,frozen_primary_evidence,True
science,frozen_model_evidence,True
science,frozen_computational_evidence,True
science,scientific_restrictions,True
structure,bab_v_structure,True
objective,objective_1,True
objective,objective_2,True
objective,objective_3,True
objective,objective_4,True
result,primary_result_text,True
result,negative_result_retained,True
analysis,inferential_restraint,True
compute,computational_evidence_text,True
future_work,suggestions_grounded,True
future_work,unexecuted_work_not_presented_as_executed,True
science,no_post_result_tuning,True
science,qlstm_quantum_restraint,True
editorial,editorial_integrity,True
cross_chapter,bab_i_to_v,True
cross_chapter,bab_ii_final_gate,True
cross_chapter,bab_iii_to_v,True
cross_chapter,bab_iv_to_v,True
cross_chapter,bab_i_to_v_complete,True
