category,check,passed
integrity,cell184_checkpoint,True
integrity,frozen_artifacts,True
revision,cell182_contract,True
revision,cell184_contract,True
revision,all_nine_gaps_resolved,True
structure,section_coverage_3_1_to_3_12,True
structure,section_sequence,True
structure,section_titles,True
method,full_method_text,True
plant,final_plant_scope,True
dataset,four_features_and_family_split,True
model,model_training_contract,True
scheduler,scheduler_contract,True
closed_loop,scenario_and_g3_scope,True
analysis,inferential_restraint,True
science,unexecuted_posthoc_policy,True
science,qlstm_quantum_restraint,True
science,obsolete_affirmative_claims_absent,True
editorial,no_placeholders_or_long_duplicates,True
cross_chapter,bab_i_ii_iii_iv_alignment,True
