check,passed
cell185_gate,True
frozen_artifacts,True
frozen_evidence_contract,True
bab_i_objective_frame,True
objective_3_literal_false_negative_fixed,True
bab_i_v_morphology_false_negative_fixed,True
conclusion_objective_1,True
conclusion_objective_2,True
conclusion_objective_3,True
conclusion_objective_4,True
computational_conclusion,True
negative_result_retained,True
no_superiority_overclaim,True
no_significance_overclaim,True
g3_limitation,True
monte_carlo_future_only,True
no_post_result_tuning,True
suggestions_from_limitations,True
no_prohibited_claims,True
editorial_integrity,True
cross_chapter_consistency,True
